# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 3.608499906346502,4.898119583200328,4.812174412901663,-3.614804520282964,-3.212437011489295,-3.0000000000000244,-0.00529431736705599,38.945794578591965,0.9771848322608238,102.72209439519376
 3.6176060284809717,4.8688005167805235,4.814022046456303,-3.6059061558524457,-3.239755377892704,-3.0,-0.0051305348598578585,39.881194516063125,0.9550161077107896,104.17570634724682
 3.6266610597442916,4.839399482444813,4.8158703903745534,-3.597258455140151,-3.266920471682663,-3.000000000000049,-0.0049714952222283115,40.82450879391584,0.9331799926301558,105.62779606231794
 3.6356651258464887,4.809920229460151,4.817719311463239,-3.588856040801261,-3.2939326699892546,-2.999999999999975,-0.0048169548912931764,41.775588451890364,0.911656924971406,107.07827284691614
 3.644618341341136,4.7803665070934915,4.8195686765291805,-3.5806937798948044,-3.320792316473196,-2.999999999999975,-0.004666682556362607,42.73428330348344,0.8904277976457583,108.52704786435528
 3.6535208101283514,4.7507420646117895,4.821418352379204,-3.5727667742189944,-3.347499722834842,-3.0000000000000497,-0.004520457784598512,43.700441959664474,0.8694739259437715,109.97403417919192
 3.6623726259263507,4.721050651281999,4.8232682058201295,-3.5650703511853767,-3.3740551702288406,-2.999999999999975,-0.004378069994659264,44.673911852781586,0.8487770057819546,111.41914680481872
 3.671173872713764,4.6912960163710755,4.82511810365878,-3.557600055290008,-3.4004589105910807,-3.0000000000000506,-0.00423931808342826,45.65453926065382,0.8283190792034537,112.86230275398279
 3.679924625144757,4.661481909145972,4.82696791270198,-3.5503516400940307,-3.4267111678840596,-3.0000000000000253,-0.0041040093057066055,46.64216933084569,0.808082500233614,114.30342109246148
 3.688624948938828,4.631612078873644,4.828817499756551,-3.5433210606896757,-3.452812139266272,-3.0,-0.003971960636385907,47.63664610512013,0.7880498974877616,115.74242299571517
 3.697274901247007,4.601690274821046,4.830666731629316,-3.5365044666599412,-3.4787619961908094,-3.0,-0.0038429956165984486,48.63781254406616,0.7682041417699903,117.17923180863573
 3.705874530996045,4.571720246255134,4.8325154751270984,-3.5298981954690416,-3.504560885437924,-2.9999999999999742,-0.003716944560988711,49.645510551897154,0.7485283120163466,118.61377310846058
 3.7144238792120543,4.5417057424428595,4.834363597056721,-3.5234987662800723,-3.530208930085952,-3.0,-0.003593645145673496,50.6595810014161,0.72900566330522,120.0459747707858
 3.722922979324953,4.511650512651179,4.836210964225006,-3.5173028741647707,-3.5557062304246485,-3.0,-0.003472941115969631,51.679863759143544,0.709619592057529,121.47576703885922
 3.731371857454964,4.481558306147047,4.838057443438776,-3.5113073847128087,-3.5810528648146813,-2.999999999999921,-0.0033546817055100635,52.70619771060449,0.6903536061772978,122.90308259618979
 3.7397705326823174,4.451432872197417,4.839902901504856,-3.5055093289824937,-3.6062488904967402,-2.9999999999999734,-0.003238720993268906,53.73842078577044,0.6711912914928325,124.32785664249555
 3.7481190173012235,4.421277960069244,4.8417472052300665,-3.499905898809122,-3.631294344353458,-3.0000000000000266,-0.0031249184675668632,54.77636998465185,0.6521162786186103,125.75002697323754
 3.7564173170591086,4.391097319029483,4.8435902214212305,-3.494494442452148,-3.656189243627115,-3.0,-0.0030131384243582216,55.81988140303797,0.6331122120543128,127.16953406267183
 3.7646654313820265,4.3608946983450885,4.845431816885172,-3.489272460547889,-3.6809335865958674,-2.999999999999973,-0.002903248592196612,56.86879025837905,0.6141627182193902,128.58632115074516
 3.772863353587085,4.330673847283014,4.847271858428714,-3.484237602362679,-3.7055273532110427,-3.000000000000027,-0.0027951206414696984,57.922930915807505,0.5952513696338967,130.00033433378644
 3.781011071082691,4.3004385151102165,4.849110212858679,-3.4793876623640294,-3.7299705056978616,-3.0000000000000546,-0.0026886301133394767,58.98213691429355,0.5763616554492236,131.41152265927158
 3.789108565557333,4.2701924510936475,4.850946746981888,-3.474720577043634,-3.754262989121787,-2.9999999999999454,-0.0025836548306071047,60.04624099293128,0.557476944001252,132.81983822485572
 3.797155813157578,4.239939404500263,4.852781327605166,-3.4702344220438275,-3.7784047319225227,-2.9999999999999725,-0.002480076975928121,61.115075117351225,0.5385804517080283,134.22523628166624
 3.8051527846559265,4.209683124597018,4.854613821535335,-3.4659274095219508,-3.8023956464175686,-3.000000000000028,-0.002377778203929302,62.18847050625481,0.5196552051220888,135.6276753423139
 3.813099445609098,4.179427360650866,4.856444095579219,-3.461797885794295,-3.826235629277082,-3.000000000000028,-0.0022766461799289374,63.26625765806694,0.5006840066637833,137.02711729367107
 3.8209957565073003,4.149175861928763,4.85827201654364,-3.45784432921592,-3.8499245619716893,-3.0,-0.002176567872634417,64.34826637770222,0.48036471970594735,138.05431816400764
 3.8288626558566445,4.118932377697661,4.860097451235419,-3.4540653483150177,-3.8528621523650988,-0.37341146275810977,-0.0020774324538222278,65.43432580344081,0.4572809531956977,138.2290761526434
 3.8367476729659606,4.088700657224517,4.861920266461383,-3.450459680175305,-3.829207101037151,2.9999999999999436,-0.0019791310942812754,66.52426443390937,0.43297939808180114,137.9138737505342
 3.8446775910482565,4.058484449776284,4.86374032902835,-3.4470261890171945,-3.8054173467902643,2.999999999999972,-0.0018815567364998294,67.61791015516316,0.40908551737809307,137.58305542925606
 3.8526522657585867,4.028287504619917,4.865557505743148,-3.443763865087397,-3.7814933226592724,3.0,-0.001784600459222188,68.71509026786487,0.3855755478181721,137.23677588675432
 3.860671553880009,3.998113571022371,4.867371663412595,-3.440671823676868,-3.757435458295006,3.0000000000000275,-0.0016881561201573041,69.81563151455578,0.36242638791634446,136.8751885821241
 3.8687353133085276,3.9679663982506,4.869182668843517,-3.4377493044741634,-3.733244180009449,3.0000000000000275,-0.0015921173133868313,70.91936010701518,0.33961555634322654,136.49844582190264
 3.8768434030382255,3.937849735571559,4.870990388842735,-3.4349956710697316,-3.708919910820356,3.0000000000000275,-0.0014963792299829927,72.02610175370344,0.317121137240008,136.10669884207758
 3.8849956831465606,3.9077673322522024,4.872794690217074,-3.432410410730677,-3.6844630704953505,3.0,-0.0014008326771571165,73.13568168728487,0.29492173582867576,135.70009788591912
